campaignID,campaign_duration,total_users,total_promo_cost,total_real_money,total_amount,total_gross_revenue,campaign_total_net_profit,overall_roi,npu_volume,npu_avg_retention_rate,camp_total_cac_30d,camp_total_crc_30d,camp_gross_ltv_30d,camp_net_ltv_30d,camp_gross_ltv_total,camp_total_net_ltv,npu_elite_ratio,npu_hunter_ratio,epu_volume,epu_real_money,epu_arpu,epu_reactivation_count,npu_acquisition_velocity,epu_contribution_ratio,campaign_name,roi_status,npu_quality_score,epu_quality_score,business_impact_score,total_cqi
8953,131,125,3750000,49376191,53126191,531261.91,-3218738.09,-0.8583301573333333,1.0,1.0,30000.0,0.0,7159.2,-22840.8,7159.2,-22840.8,1.0,0.0,124.0,48923271.0,394542.5080645161,0.0,0.007633587786259542,0.992,Camp_8953,Lỗ,100.0,100.0,2.53538844060696,61.01415537624278
7873,38,6,90000,2155424,2245424,22454.24,-67545.76,-0.7505084444444444,1.0,1.0,10000.0,0.0,2997.0,-7003.0,15823.470000000001,5823.470000000001,1.0,0.0,5.0,2005924.0,401184.8,0.0,0.02631578947368421,0.8333333333333334,Camp_7873,Lỗ,100.0,100.0,2.300791290251943,60.920316516100776
10154,55,69,690000,8253390,8943390,89433.90000000001,-600566.1,-0.8703856521739131,1.0,1.0,10000.0,0.0,3900.0,-6100.0,3900.0,-6100.0,1.0,0.0,68.0,8197390.0,120549.85294117648,0.0,0.01818181818181818,0.9855072463768116,Camp_10154,Lỗ,100.0,100.0,1.8354521049362347,60.73418084197449
10159,17,4,40000,764000,804000,8040.0,-31960.0,-0.799,1.0,1.0,10000.0,0.0,18230.32,8230.32,32860.32,22860.32,1.0,0.0,3.0,674000.0,224666.66666666666,0.0,0.058823529411764705,0.75,Camp_10159,Lỗ,100.0,100.0,1.8245838273615298,60.72983353094461
7821,203,96,1440000,12516496,13956496,139564.96,-1300435.04,-0.9030798888888889,1.0,1.0,15000.0,20000.0,11226.1,-23773.9,13866.1,-21133.9,1.0,0.0,95.0,12272996.0,129189.43157894736,0.0,0.0049261083743842365,0.9895833333333334,Camp_7821,Lỗ,100.0,100.0,1.8114099858433805,60.72456399433735
9246,59,35,350000,4556894,4906894,49068.94,-300931.06,-0.8598030285714285,1.0,1.0,10000.0,50000.0,9093.09,-50906.91,82920.07,12920.070000000007,1.0,0.0,34.0,4401894.0,129467.4705882353,0.0,0.01694915254237288,0.9714285714285714,Camp_9246,Lỗ,100.0,100.0,1.5785598873256812,60.63142395493027
10220,5,23,345000,4503195,4848195,48481.950000000004,-296518.05,-0.8594726086956521,1.0,1.0,15000.0,20000.0,20396.100000000002,-14603.899999999998,20396.100000000002,-14603.899999999998,1.0,0.0,22.0,4358053.0,198093.31818181818,0.0,0.2,0.9565217391304348,Camp_10220,Lỗ,100.0,100.0,1.4559285137300177,60.582371405492005
9427,1,2,40000,245000,285000,2850.0,-37150.0,-0.92875,1.0,1.0,20000.0,5000.0,37340.0,12340.0,109350.5,84350.5,1.0,0.0,1.0,170000.0,170000.0,0.0,1.0,0.5,Camp_9427,Lỗ,100.0,100.0,0.5855000268704441,60.234200010748175
9734,12,3,90000,263613,353613,3536.13,-86463.87,-0.9607096666666666,2.0,1.0,60000.0,20000.0,48895.13,-31104.870000000003,50990.13,-29009.870000000003,1.0,0.0,1.0,96500.0,96500.0,0.0,0.16666666666666666,0.3333333333333333,Camp_9734,Lỗ,100.0,91.25295508274232,0.295931786446795,58.36896373112719
9740,51,137,2145000,12299022,14444022,144440.22,-2000559.78,-0.9326619020979021,1.0,1.0,15000.0,40000.0,27728.57,-27271.43,51840.92,-3159.0800000000017,1.0,0.0,136.0,12149022.0,89331.04411764706,0.0,0.0196078431372549,0.9927007299270073,Camp_9740,Lỗ,100.0,84.47380058406341,1.963275285252695,57.68007023091376
